timestamp,production,consumption,battery_charge,battery_discharge,grid_feedin,grid_consumption,battery_state_of_charge,direct_consumption
2025-03-23T11:32:00.000Z,3870,328,-3485,0,57,0,72,328
2025-03-23T11:33:00.000Z,3727,347,-3356,0,11,0,73,347
2025-03-23T11:34:00.000Z,3719,337,-3350,0,32,0,73,337
2025-03-23T11:35:00.000Z,3787,334,-3407,0,48,0,74,334
2025-03-23T11:36:00.000Z,3883,340,-3535,0,20,0,74,340
2025-03-23T11:38:00.000Z,3995,346,-3616,0,35,0,75,346
2025-03-23T11:39:00.000Z,3952,343,-3576,0,33,0,76,343
2025-03-23T11:40:00.000Z,3837,352,-3484,0,0,1,76,352
2025-03-23T11:41:00.000Z,3686,3487,0,20,217,0,76,3487
2025-03-23T11:42:00.000Z,3343,3721,0,120,0,64,76,3721
2025-03-23T11:43:00.000Z,3326,3907,0,182,0,404,76,3907
2025-03-23T11:44:00.000Z,3555,3866,0,24,0,302,76,3866
2025-03-23T11:45:00.000Z,3743,3905,0,591,0,103,76,3905
2025-03-23T11:49:00.000Z,4661,3979,-649,0,58,0,77,3979
2025-03-23T11:50:00.000Z,4461,3575,-895,0,321,0,77,3575
2025-03-23T11:51:00.000Z,4724,3443,-1242,0,393,0,77,3443
2025-03-23T11:52:00.000Z,4589,3828,-1213,0,0,483,77,3828
2025-03-23T11:53:00.000Z,4804,3683,-762,0,456,0,77,3683
2025-03-23T11:53:59.000Z,5636,3478,-1820,0,226,0,77,3478
2025-03-23T11:55:00.000Z,4160,3694,0,62,537,0,78,3694
2025-03-23T11:55:59.000Z,3601,3636,0,52,0,46,78,3636
2025-03-23T11:59:00.000Z,2351,3183,0,1351,516,0,78,3183
2025-03-23T12:00:00.000Z,2154,3544,0,1642,257,0,77,3544
2025-03-23T12:01:00.000Z,2116,3412,0,1246,261,0,77,3412
2025-03-23T12:02:00.000Z,2109,3493,0,1353,0,22,77,3493
2025-03-23T12:03:00.000Z,4386,3530,-234,0,634,0,77,3530
2025-03-23T12:04:00.000Z,2555,3538,0,942,0,5,77,3538
2025-03-23T12:05:00.000Z,2389,3544,0,1106,0,45,76,3544
2025-03-23T12:06:00.000Z,2698,3525,0,805,0,67,76,3525
2025-03-23T12:07:00.000Z,3141,3529,0,176,0,206,76,3529
2025-03-23T12:08:00.000Z,2742,3535,0,765,0,79,76,3535
2025-03-23T12:09:00.000Z,3843,3530,-432,0,0,104,76,3530
2025-03-23T12:10:00.000Z,6681,3590,-2897,0,231,0,76,3590
2025-03-23T12:11:00.000Z,5090,3588,-1470,0,33,0,77,3588
2025-03-23T12:12:00.000Z,6524,3539,-3017,0,338,0,77,3539
2025-03-23T12:13:00.000Z,5767,3576,-2179,0,4,0,77,3576
2025-03-23T12:14:00.000Z,5092,3560,-1010,0,511,0,77,3560
2025-03-23T12:16:00.000Z,3697,3784,0,206,149,0,78,3784
2025-03-23T12:17:00.000Z,3879,3828,0,43,102,0,78,3828
2025-03-23T12:18:00.000Z,4180,3735,-334,0,0,144,78,3735
2025-03-23T12:19:00.000Z,4371,3593,-723,0,0,1,78,3593
2025-03-23T12:20:00.000Z,5584,3571,-1893,0,110,0,78,3571
2025-04-06T16:03:59.000Z,1136,927,-2,0,207,0,100,927
2025-04-06T16:04:59.000Z,1105,906,-2,0,198,0,100,906
2025-04-06T16:05:59.000Z,1076,928,-2,0,146,0,100,928
2025-04-06T16:06:59.000Z,1041,894,-2,0,146,0,100,894
