timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2022-03-18T00:00:00+01:00,18798,9498,8284,17,8096,7063
2022-03-19T00:00:00+01:00,40319,6961,782,2726,35742,440
2022-03-20T00:00:00+01:00,26113,12049,5041,5368,14933,543
2022-03-21T00:00:00+01:00,36984,9268,5838,4809,27175,488
2022-03-22T00:00:00+01:00,43581,8485,5692,3100,32957,454
2022-03-23T00:00:00+01:00,43455,9522,4283,4228,34339,461
2022-03-24T00:00:00+01:00,43213,7219,5187,3481,34712,423
2022-03-25T00:00:00+01:00,39704,10333,4936,3499,28415,481
2022-03-26T00:00:00+01:00,44673,9662,4603,5464,36312,440
2022-03-27T00:00:00+01:00,45377,12935,6669,5041,31204,389
2022-03-28T00:00:00+02:00,43020,8155,8248,5100,32159,442
2022-03-29T00:00:00+02:00,27764,7452,6328,5513,19978,480
2022-03-30T00:00:00+02:00,7766,8119,5875,5907,274,595
2022-03-31T00:00:00+02:00,11035,7918,7787,6022,1928,577
2022-04-01T00:00:00+02:00,9162,6033,6806,3445,284,516
2022-04-02T00:00:00+02:00,12659,13688,7290,7886,238,671
2022-04-03T00:00:00+02:00,26332,8328,6106,4461,16805,445
2022-04-04T00:00:00+02:00,40299,7040,6439,2948,30239,473
2022-04-05T00:00:00+02:00,2753,8998,1058,6798,175,679
2022-04-06T00:00:00+02:00,25078,9199,11235,3465,10520,2411
2022-04-07T00:00:00+02:00,7651,7875,5604,5618,310,519
2022-04-08T00:00:00+02:00,6139,9423,3617,6565,300,636
2022-04-09T00:00:00+02:00,33329,7487,10368,2158,18135,503
2022-04-10T00:00:00+02:00,26139,13081,3280,5259,15553,515
2022-04-11T00:00:00+02:00,49359,7888,9022,4709,37649,491
2022-04-12T00:00:00+02:00,43974,10421,5513,4210,32728,479
2022-04-13T00:00:00+02:00,40678,10443,5014,4203,29939,516
2022-04-14T00:00:00+02:00,37375,10656,5848,4859,26166,437
2022-04-15T00:00:00+02:00,45606,11389,3989,3698,34341,415
2022-04-16T00:00:00+02:00,38185,10514,4795,5948,29267,443
2022-04-17T00:00:00+02:00,51231,15410,7229,5257,34259,410
2022-04-18T00:00:00+02:00,50703,10989,6857,4236,37576,483
2022-04-19T00:00:00+02:00,47526,8731,5474,3298,37032,413
2022-04-20T00:00:00+02:00,51322,10814,4435,4955,41526,499
2022-04-21T00:00:00+02:00,39901,10611,6008,4238,28030,510
2022-04-22T00:00:00+02:00,48252,9376,5177,2523,36591,369
2022-04-23T00:00:00+02:00,23310,10407,4465,3949,12841,454
2022-04-24T00:00:00+02:00,5095,12832,1318,7592,114,1577
2022-04-25T00:00:00+02:00,32912,8051,11283,3596,18581,1407
2022-04-26T00:00:00+02:00,26256,10679,8274,5314,13147,530
2022-04-27T00:00:00+02:00,39902,7399,4926,4171,32187,439
2022-04-28T00:00:00+02:00,51924,10554,5550,6203,42563,541
2022-04-29T00:00:00+02:00,39130,9453,6502,3295,26893,424
2022-04-30T00:00:00+02:00,7982,16819,2162,3013,187,8173
2022-05-01T00:00:00+02:00,22193,12310,6717,4079,7760,515
2022-05-02T00:00:00+02:00,39981,9678,5560,4859,30056,454
2022-05-03T00:00:00+02:00,41763,10416,5059,5478,32216,450
2022-05-04T00:00:00+02:00,41571,8003,7485,5210,31764,472
2022-05-05T00:00:00+02:00,18193,6864,7064,4098,8822,459
2022-05-06T00:00:00+02:00,42275,11949,6713,5499,29600,490
2022-05-07T00:00:00+02:00,45403,10334,3755,2545,34232,373
2022-05-08T00:00:00+02:00,43144,12164,4337,2846,29967,477
2022-05-09T00:00:00+02:00,50903,7145,4635,3802,43324,399
2022-05-10T00:00:00+02:00,43888,7944,4917,2639,34151,486
2022-05-11T00:00:00+02:00,49590,6585,3820,3240,42901,476
2022-05-12T00:00:00+02:00,34035,7112,3720,2022,25638,413
2022-05-13T00:00:00+02:00,47821,6644,2638,2968,41931,426
2022-05-14T00:00:00+02:00,52464,41082,5817,8670,15610,1375
2022-05-15T00:00:00+02:00,52067,18309,9083,4354,29473,444
2022-05-16T00:00:00+02:00,38728,8462,6709,3284,27291,451
2022-05-17T00:00:00+02:00,44345,7935,3668,3311,36480,427
2022-05-18T00:00:00+02:00,45782,11281,3724,3050,34374,548
2022-05-19T00:00:00+02:00,48703,8211,4692,3093,39287,394
2022-05-20T00:00:00+02:00,39613,7125,3727,3988,33165,416
2022-05-21T00:00:00+02:00,33234,8581,4633,2634,23063,410
2022-05-22T00:00:00+02:00,49633,9697,3181,2114,39222,353
2022-05-23T00:00:00+02:00,31272,7176,4333,3974,24214,476
2022-05-24T00:00:00+02:00,35575,6471,5193,2813,27135,410
2022-05-25T00:00:00+02:00,43091,8998,3366,2971,34175,477
2022-05-26T00:00:00+02:00,27748,10656,4787,3945,16704,455
2022-05-27T00:00:00+02:00,17837,6832,3980,2145,9551,382
2022-05-28T00:00:00+02:00,42410,7943,2389,1538,33926,312
2022-05-29T00:00:00+02:00,29232,10965,2641,2753,18835,457
2022-05-30T00:00:00+02:00,38132,10335,4609,2885,26675,602
2022-05-31T00:00:00+02:00,42090,7681,3923,2769,33700,445
2022-06-01T00:00:00+02:00,50952,8843,3399,2853,41956,393
2022-06-02T00:00:00+02:00,49229,6053,3406,2024,42190,396
2022-06-03T00:00:00+02:00,36485,8898,2949,2521,27591,432
2022-06-04T00:00:00+02:00,28507,9106,3406,2333,18695,367
2022-06-05T00:00:00+02:00,21310,9258,4868,3703,11346,460
2022-06-06T00:00:00+02:00,32194,7475,3397,2167,23875,386
2022-06-07T00:00:00+02:00,44845,9337,3590,2718,35026,390
2022-06-08T00:00:00+02:00,35113,11756,3415,2823,23161,395
2022-06-09T00:00:00+02:00,37723,9607,4498,3298,27289,372
2022-06-10T00:00:00+02:00,52741,11454,3187,3965,42438,372
2022-06-11T00:00:00+02:00,48273,8463,4982,2608,37773,337
2022-06-12T00:00:00+02:00,45633,11237,3600,3460,34639,383
2022-06-13T00:00:00+02:00,45606,10313,5212,2745,33222,396
2022-06-14T00:00:00+02:00,54027,9780,3478,2216,43349,364
2022-06-15T00:00:00+02:00,52715,11106,2934,3119,42168,375
2022-06-16T00:00:00+02:00,51948,4109,4045,1057,45179,329
